题名,摘要,关键词,发表年份,作者,单位,文献来源,中图分类号
DeepSeek与医学大语言模型：技术创新与医疗服务模式重构, 目的/意义从DeepSeek出发，探讨医学大语言模型的技术创新，以应对医学领域独有的技术难题和挑战。方法/过程重点分析医疗人工智能在多模态数据融合、医生思维方式适配以及医疗决策高风险性的技术要求等方面的突破路径，并展望未来医学大语言模型如何推动数智医院建设与医疗服务模式重构。结果/结论随着人工智能技术的不断发展，医学大语言模型将在未来医疗实践中发挥越来越重要的作用。通过多模态数据融合、因果推理的引入、模型可解释性的提升，大语言模型不仅能提升诊断效率和准确性，还将为数智医院的建设和医疗服务模式重构提供强有力的技术支持。,大语言模型;;医学服务模式;;DeepSeek;,2025/2/25,闾海荣;江瑞;张学工;王存库,清华大学自动化系生命基础模型实验室,医学信息学杂志,R-05;TP18
基于大语言模型的医疗质量控制应用系统构建," 目的/意义开发基于大语言模型的医疗质量控制系统，以提升医疗质量控制自动化水平与准确性。方法/过程获取高质量医学数据(包括通用医疗数据和质量控制相关数据)对PULSE模型微调，结合自动化指标计算与检索增强生成技术，高效执行复杂质量控制任务。结果/结论该系统在医疗质量控制的自动化计算与推理准确性方面性能显著提升，准确度达93.31%,优于基座大模型和常见推理方法，具有重要的应用价值。",大语言模型;;指令微调;;医疗质量控制;,2025/2/25,吴宏;胡军;陈尔真;董晨杰;李建华,1.上海市卫生健康委员会;2.上海市医疗质量控制管理事务中心;3.华东理工大学,医学信息学杂志,R-05
基于循证医学和电子病历数据的通用医学知识图谱构建, 目的/意义构建涵盖循证医学知识和电子病历数据的通用医学知识图谱，以提升图谱的应用效能。方法/过程梳理多源异构数据情况，融合国内外知名知识图谱，设计图谱schema。利用RoBERTa预训练模型进行词嵌入，从医学文献、网络文献、教科书、医学数据库和电子病历等数据源中提取命名实体和关系，采用基于规则的SWIQA框架和基于随机抽样的人工审核策略评价图谱质量。结果/结论共确定128个本体和1 108种关系，并以三元组形式存储于数据库中。经评估，图谱语义准确性达93.8%。所构建的通用医学知识图谱不仅涵盖循证医学知识，还包括临床真实世界产生的专家经验，为医学人工智能应用的进一步发展提供了有力支撑。,循证医学;;电子病历;;医学知识图谱;,2025/2/25,吴欢;车贺宾;王万玲;陈媛媛;李重勋,1.中国人民解放军总医院医学创新研究部;2.医疗大数据应用技术国家工程研究中心;3.北京嘉和海森健康科技有限公司,医学信息学杂志,R-05;TP391.1
电子病历中表型术语识别及罕见病知识富集研究进展与关键技术思考, 目的/意义分析罕见病辅助诊断研究进展，提升罕见病识别能力。方法/过程通过文献分析法，阐述罕见病知识体系研究进展，总结研究思路及关键技术。结果/结论应加强全国罕见病诊疗协作网建设，在协作网内表型术语识别、罕见病知识整合、罕见病预测模型、语义相似度算法改进等方面继续深耕，探索诊断工具在协作网落地相关技术。,罕见病;;临床决策支持系统;;罕见病协作网;;人类表型术语;;表型术语识别;;知识整合;,2025/2/25,张睿;王丽;吕庆国;李蕾,1.四川大学华西医院信息中心;3.乐山市马边彝族自治县人民医院内科;4.乐山市马边彝族自治县人民医院信息科;5.四川大学华西医院内分泌代谢科,医学信息学杂志,R-05;TP391.1
基于LDA模型的卫生健康媒体数据时间序列主题分析, 目的/意义探索卫生健康领域媒体数据主题及其演化趋势。方法/过程以深圳广电媒资数据库中的160 549条卫生健康领域媒体数据为研究对象，采用隐含狄利克雷分布模型结合时间序列进行主题聚类分析，并结合专家经验，进行对比分析。结果/结论得到25个与卫生健康领域强相关的主题，根据主题强度演化趋势分为6组。主题建模的内容划分和强度变化有效反映了卫生健康领域热点事件的发生及其演进过程。利用隐含狄利克雷分布模型进行主题建模，结合时间序列分析主题分布、解读主题意义，有助于探索媒体数据在卫生健康领域的应用，为卫生健康公共事业赋能。,卫生健康媒体数据;;隐含狄利克雷分布模型;;热点事件;;主题演化;,2025/2/25,吴旭生;查亚东;张冬云;彭祖胜;林圣,1.深圳市卫生健康发展研究和数据管理中心;2.深圳广播电影电视集团,医学信息学杂志,R-05
突发公共卫生事件应急软件架构设计研究, 目的/意义提出突发公共卫生事件应急软件架构方案，为公共卫生领域应急管理工作提供支持。方法/过程通过文献分析和现场调研，设计突发公共卫生事件应急软件架构方案。结果/结论该突发公共卫生事件应急软件能够快速、有效地调动和整合各种卫生资源，及时开展应急救援工作，最大限度减少人员伤亡和经济损失，共同维护公共卫生安全，不断完善和提高应急响应能力。,公共卫生;;应急软件;;架构设计;,2025/2/25,邓锴;王坤;付兵;王勇;高星,2.中国医学科学院/北京协和医学院马克思主义学院人文和社会科学学院;3.北京市红十字血液中心;4.中国医学科学院/北京协和医学院医学信息研究所,医学信息学杂志,R-05;TP311.52
基于大语言模型微调的出院小结生成“幻觉”抑制方法, 目的/意义解决大语言模型在出院小结生成过程中存在的“幻觉”问题，提升大语言模型的生成能力与上下文一致性。方法/过程构建高质量、多层次的医疗指令数据集，采用基于分阶段训练的指令微调策略，引导大语言模型从简单到复杂任务逐步学习。在微调过程中引入数据回放与混合训练机制，确保大语言模型在新任务中保留和利用已有知识。结果/结论该方法显著降低了大语言模型生成“幻觉”的发生率，提高了医疗文本生成准确性和可靠性。将课程学习理论与回放机制有效结合，不仅提升了模型对复杂任务的适应性，还确保了生成内容的专业性，同时展现出较高的实用性和可靠性。,大语言模型;;出院小结生成;;“幻觉”抑制;;微调;,2025/2/25,姜胜耀;袁铖;朱立峰;李寅驰;范亚蔚,1.上海交通大学医学院附属瑞金医院;2.华东理工大学,医学信息学杂志,R197.323;TP391.1
临床试验机构评价信息平台功能设计, 目的/意义探索建立临床试验机构评价信息系统，为评价工作提供信息化、智能化平台。方法/过程设计以数据采集、数据审核、数据中心及模型配置为核心功能模块的信息平台，为临床试验机构评价提供智能化平台及有效质控、分析工具。结果/结论信息平台基本实现临床试验机构评价流程和评价数据管理信息化，为评价体系落地实施奠定基础，为类似平台建设提供借鉴。,临床试验;;临床试验机构评价;;信息平台;,2025/2/25,张钟元;赵志霞;王欣;商朴;刘丽宏,1.中国医学科学院/北京协和医学院医学信息研究所;2.中日友好医院药物临床试验研究中心;3.北京医院/国家老年医学中心临床试验研究中心;4.中国医学科学院阜外医院/国家药械临床试验机构办公室,医学信息学杂志,TP399;R-05
公立医院一院多区信息化建设的态势分析与对策建议, 目的/意义分析公立医院一院多区信息化建设面临的问题、难点，提出公立医院一院多区信息化建设发展策略，为促进大型公立医院多院区信息化建设乃至多院区可持续发展提供借鉴。方法/过程运用SWOT分析法对公立医院一院多区信息化建设发展态势进行分析。结果/结论公立医院一院多区信息化建设应当建立架构统一的基础底座支撑不同院区实现服务同质化，创新新兴技术研发与应用实现不同院区差异化发展，增强医院信息化管理水平，保障同质化与差异化协同推进。,一院多区;;信息化建设;;同质化服务;;互联互通;;智慧医院;,2025/2/25,徐梦超;徐娟,1.华中科技大学同济医学院医药卫生管理学院;2.武汉市汉口医院信息科;3.华中科技大学文科双一流建设重大学科平台(医院高质量发展研究中心),医学信息学杂志,TP399;R197.32
人工智能技术在老年认知症筛查中的应用现状, 目的/意义分析人工智能技术在老年认知症筛查中的应用现状，探讨其在提高早期诊断准确性和效率方面的潜力及挑战。方法/过程采用文献综述法，整理与总结人工智能在老年认知症筛查领域的关键技术和应用场景，分析目前应用的优点和局限性。结果/结论现有研究存在依赖数据质量、算法可解释性较差以及在不同医疗环境中的适应性不足等局限。提出增加跨学科合作、积累认知症相关数据、迭代人工智能模型、提高评估质量、促进新兴技术在社区和医疗机构普及等应对策略。,人工智能;;认知症;;筛查;;老年人;,2025/2/25,司唯;徐婷;林家玥;曹文婷;朱爱勇,1.上海中医药大学研究生院;2.上海健康医学院护理与健康管理学院,医学信息学杂志,R749.1;TP18
